ds,yhat,yhat_lower,yhat_upper
2018-11-03,28710.367,28072.345703125,30879.592382812498
2018-11-04,28710.367,27849.02939453125,29997.013671875
2018-11-05,28710.367,28253.10224609375,29390.895117187498
2018-11-06,28710.367,28274.369140625,29592.942675781247
2018-11-07,28710.367,27423.69150390625,29156.971972656247
2018-11-08,28710.367,26285.92646484375,29146.337890625
2018-11-09,28710.367,27189.76884765625,30199.037109375
2018-11-10,28710.367,28274.369140625,30209.67119140625
2018-11-11,28710.367,28019.177734375,30262.837792968745
2018-11-12,28710.367,25477.7826171875,29592.942675781247
2018-11-13,28710.367,27179.1361328125,29997.013671875
2018-11-14,28710.367,26573.01572265625,30199.037109375
2018-11-15,28710.367,26775.06513671875,30209.67119140625
2018-11-16,28710.367,28061.7115234375,30411.71875
2018-11-17,28710.367,27434.32421875,29135.705078125
2018-11-18,28710.367,25711.70576171875,29135.705078125
2018-11-19,28710.367,27423.69150390625,29146.337890625
2018-11-20,28710.367,28040.44462890625,29135.705078125
2018-11-21,28710.367,27200.40302734375,30199.037109375
2018-11-22,28710.367,28285.001953125,30411.71875
2018-11-23,28710.367,25307.634765625,29348.361328125
2018-11-24,28710.367,25509.68232421875,29348.361328125
2018-11-25,28684.68,28684.6796875,28684.6796875
2018-11-26,28684.68,28684.6796875,28684.6796875
2018-11-27,28684.68,28684.6796875,28684.6796875
2018-11-28,28684.68,28684.6796875,28684.6796875
2018-11-29,28684.68,28674.055078125,28684.6796875
2018-11-30,28684.68,28472.1875,28695.3029296875
2018-12-01,28684.68,28472.1875,28684.6796875
2018-12-02,28684.68,28472.1875,28695.3029296875
2018-12-03,28684.68,28674.055078125,28695.3029296875
2018-12-04,28684.68,28684.6796875,28897.14453125
2018-12-05,28684.68,28674.055078125,28897.14453125
2018-12-06,28684.68,28472.1875,28897.14453125
2018-12-07,28684.68,28472.1875,28897.14453125
2018-12-08,28684.68,28472.1875,28897.14453125
2018-12-09,28684.68,28249.0720703125,28897.14453125
2018-12-10,28684.68,28472.1875,28897.14453125
2018-12-11,28684.68,28472.1875,28897.14453125
2018-12-12,28684.68,28472.1875,28897.14453125
2018-12-13,28684.68,28461.562890625,28897.14453125
2018-12-14,28684.68,28461.562890625,28897.14453125
2018-12-15,28684.68,28249.0720703125,28897.14453125
2018-12-16,28684.68,28419.06708984375,28897.14453125
2018-12-17,28684.68,27611.646875,28897.14453125
2018-12-18,28684.68,26283.65673828125,28907.76923828125
2018-12-19,28684.68,27601.0236328125,28897.14453125
2018-12-20,28684.68,28461.562890625,29322.103515625
2018-12-21,28684.68,28461.562890625,29109.638671875
2018-12-22,28684.68,28249.0720703125,28907.76923828125
2018-12-23,28684.68,27802.86708984375,29534.595703125
2018-12-24,28684.68,27186.68984375,29162.757617187497
2018-12-25,28684.68,27601.0236328125,29109.638671875
2018-12-26,28684.68,27197.314453125,29619.587207031243
2018-12-27,28684.68,27197.314453125,29821.428808593744
2018-12-28,28684.68,26719.23701171875,31478.76318359375
2018-12-29,28684.68,26485.49833984375,30235.761230468746
2018-12-30,28684.68,27080.450390625,29322.103515625
2018-12-31,28684.68,26559.865234375,29130.886523437497
